"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2024","58.60","61.00","61.90","57.00","2.00M","-2.66%"
"02/08/2024","60.20","59.00","61.00","58.90","2.37M","3.79%"
"02/07/2024","58.00","57.70","59.70","57.20","3.86M","1.75%"
"02/06/2024","57.00","58.30","58.30","55.30","2.54M","-2.23%"
"02/05/2024","58.30","61.00","64.30","57.50","5.73M","-1.19%"
"02/04/2024","59.00","54.40","59.00","53.90","4.60M","9.87%"
"02/01/2024","53.70","55.50","55.70","53.20","3.98M","-2.54%"
"01/31/2024","55.10","55.90","57.10","54.00","2.97M","-1.08%"
"01/30/2024","55.70","53.40","56.00","53.00","3.37M","3.72%"
"01/29/2024","53.70","54.50","54.70","51.80","3.43M","-1.10%"
"01/28/2024","54.30","54.10","56.70","53.50","4.17M","0.37%"
"01/25/2024","54.10","49.60","54.40","49.60","4.50M","9.29%"
"01/24/2024","49.50","48.30","50.00","47.90","3.47M","3.77%"
"01/23/2024","47.70","46.50","48.30","46.10","4.16M","2.14%"
"01/22/2024","46.70","46.00","48.90","46.00","4.12M","2.41%"
"01/21/2024","45.60","43.80","46.00","42.90","3.25M","2.24%"
"01/18/2024","44.60","42.90","45.50","42.90","4.07M","3.96%"
"01/17/2024","42.90","42.90","43.40","42.00","2.78M","0.00%"
"01/16/2024","42.90","44.00","44.60","42.10","3.57M","-2.05%"
"01/15/2024","43.80","43.30","44.60","42.00","4.46M","3.79%"
"01/14/2024","42.20","39.30","42.20","38.90","4.01M","9.90%"
"01/11/2024","38.40","38.00","39.10","38.00","763.13K","0.52%"
"01/10/2024","38.20","36.90","38.50","36.90","815.87K","3.52%"
"01/09/2024","36.90","37.40","37.50","36.40","673.65K","-1.60%"
"01/08/2024","37.50","37.30","38.10","37.20","376.13K","1.08%"
"01/04/2024","37.10","37.30","37.30","36.00","325.94K","0.82%"
"01/03/2024","36.80","37.70","37.70","36.00","388.73K","-0.54%"
"01/02/2024","37.00","38.90","39.40","36.50","1.52M","-3.39%"
"01/01/2024","38.30","37.20","39.30","36.30","1.17M","3.79%"
"12/28/2023","36.90","35.90","37.40","35.80","885.20K","2.79%"
"12/27/2023","35.90","36.10","36.30","35.60","694.11K","0.84%"
"12/26/2023","35.60","36.20","36.30","35.50","474.12K","-1.11%"
"12/24/2023","36.00","36.10","36.30","35.80","574.12K","0.28%"
"12/21/2023","35.90","35.70","36.60","35.60","956.32K","1.13%"
"12/20/2023","35.50","35.30","35.90","35.30","686.94K","1.14%"
"12/19/2023","35.10","34.70","35.40","34.30","419.48K","1.15%"
"12/18/2023","34.70","35.00","35.70","34.60","363.07K","-0.29%"
"12/17/2023","34.80","35.80","35.80","34.70","424.04K","-2.52%"
"12/14/2023","35.70","36.60","36.60","35.60","463.49K","-2.46%"
"12/13/2023","36.60","36.30","37.80","35.80","1.40M","2.81%"
"12/12/2023","35.60","35.50","36.00","35.30","676.25K","0.28%"
"12/11/2023","35.50","34.70","35.90","34.70","411.14K","2.31%"
"12/10/2023","34.70","35.50","35.50","34.50","518.98K","-2.25%"
"12/07/2023","35.50","35.50","35.90","35.00","463.80K","-0.84%"
"12/06/2023","35.80","36.50","36.50","35.60","448.54K","-0.83%"
"12/05/2023","36.10","35.80","36.50","35.50","599.51K","0.28%"
"12/04/2023","36.00","34.80","36.50","34.80","685.53K","3.45%"
"12/03/2023","34.80","35.00","35.00","34.10","389.62K","0.29%"
"11/30/2023","34.70","34.50","34.90","34.20","264.62K","0.58%"
"11/29/2023","34.50","34.00","34.80","34.00","287.87K","2.07%"
"11/28/2023","33.80","33.60","34.10","33.30","198.38K","0.60%"
"11/27/2023","33.60","35.30","35.30","33.40","249.80K","-3.45%"
"11/26/2023","34.80","35.50","36.00","34.40","508.34K","-2.79%"
"11/23/2023","35.80","35.70","36.00","35.00","581.51K","0.56%"
"11/22/2023","35.60","35.80","36.10","35.00","643.79K","1.14%"
"11/21/2023","35.20","35.10","35.90","34.60","492.07K","-1.12%"
"11/20/2023","35.60","35.70","36.60","35.50","655.38K","-1.66%"
"11/19/2023","36.20","37.00","37.80","36.00","1.32M","-1.90%"
"11/16/2023","36.90","35.80","37.30","35.10","912.79K","3.07%"
"11/15/2023","35.80","36.50","36.80","35.60","907.25K","-2.72%"
"11/14/2023","36.80","35.30","37.80","35.00","1.76M","4.25%"
"11/13/2023","35.30","33.80","35.60","33.60","1.18M","5.06%"
